#separator:tab
#html:true
#notetype column:1
#tags column:4
Basic	What are the two primary functions NLP is divided into?	Natural Language Understanding (NLU), which structures unstructured text, and Natural Language Generation (NLG), which produces language from data.	nlp s1_intro definition
Basic	What is Semantic Analysis (in NLP)?	The specific process of drawing meaning by analyzing word relationships and grammatical structures in context.	nlp s1_intro definition
Basic	What is the standard NLP Pipeline (in order)?	Data Collection &amp; cleaning → Preprocessing → Feature Engineering → Modeling → Monitoring.	nlp s1_intro pipeline
Basic	What is segmentation in text preprocessing?	Breaking documents into their constituent sentences.	nlp s1_intro preprocessing
Basic	What is tokenization?	Breaking sentences into individual units called "tokens".	nlp s1_intro preprocessing
Basic	What is the difference between stemming and lemmatization?	Stemming is faster and rule-based (suffix stripping); lemmatization is more accurate, dictionary-based, returns valid words, and is improved by POS tags.	nlp s1_intro comparison
Basic	What does POS Tagging do, and how does it differ from NER?	POS Tagging labels grammatical categories (noun, verb, etc.); NER identifies specific entities like people, locations, or organizations.	nlp s1_intro comparison
Basic	Why is mapping speech to text not one-to-one?	Speech is non-categorical, continuous pressure waves, while written text consists of categorical units separated by whitespace.	nlp s2_complinguistics
Basic	What is Computational Linguistics?	The intersection of linguistics and computer science, developing computational models and algorithms for processing/understanding human language.	nlp s2_complinguistics definition
Basic	What are the two main components of a Conversational AI Pipeline?	(1) Speech AI: ASR/STT + TTS, and (2) NLP: NLU + NLG.	nlp s2_complinguistics architecture
Basic	Trace the full Conversational AI flow from user speech to system speech.	Speech → ASR → Text → NLP processing → Text → TTS → Speech output.	nlp s2_complinguistics pipeline
Basic	How does Computational Linguistics differ from Conversational AI in focus?	Computational Linguistics has a broader theoretical focus on language understanding; Conversational AI is applied, focused on intelligent agents for specific conversational tasks.	nlp s2_complinguistics comparison
Basic	How does Conversational AI differ from Generative AI?	Conversational AI focuses on human-like interactions and maintaining context; Generative AI focuses on creating original content based on learned patterns.	nlp s2_complinguistics comparison
Basic	What advantage do natively multimodal speech-to-speech models (e.g., GPT-4o) have over text-based pipelines?	They can directly process and generate audio, enabling understanding of emotion, whisper, singing, and handling interruptions.	nlp s2_complinguistics models
Basic	What does NLTK's word_tokenize output for "Python is Great! I am using NLTK"?	['Python', 'is', 'Great', '!', 'I', 'am', 'using', 'NLTK']	nlp s2_complinguistics code
